Title,Price,Sku,Color,Available,Category,Overview,WebURL,OrderStatus
M21303_GREY____M21303_GREY_pk,"PKR 2285",M21303,GREY,In stock,Kameez Dupatta,Unstitched Embroidered 2 Piece,https://pk.khaadi.com/m21303-grey-m21303-grey-pk.html,T
L21332_PINK____L21332_PINK_pk,"PKR 1690",L21332,PINK,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21332-pink-l21332-pink-pk.html,T
L21333_GREEN____L21333_GREEN_pk,"PKR 1775",L21333,GREEN,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21333-green-l21333-green-pk.html,T
L21334_BLUE____L21334_BLUE_pk,"PKR 1775",L21334,BLUE,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21334-blue-l21334-blue-pk.html,F
L21330_GREEN____L21330_GREEN_pk,"PKR 1690",L21330,GREEN,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21330-green-l21330-green-pk.html,T
L21331_TEAL____L21331_TEAL_pk,"PKR 1775",L21331,TEAL,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21331-blue-l21331-blue-pk.html,T
L21329_BLACK____L21329_BLACK_pk,"PKR 1775",L21329,BLACK,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21329-black-l21329-black-pk.html,T
L21330_BLACK____L21330_BLACK_pk,"PKR 1690",L21330,BLACK,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21330-black-l21330-black-pk.html,F
L21331_RED____L21331_RED_pk,"PKR 1775",L21331,RED,In stock,Kameez Dupatta,Unstitched Printed 2 Piece,https://pk.khaadi.com/l21331-red-l21331-red-pk.html,T
IS21302_GREY____IS21302_GREY_pk,"PKR 2285",IS21302,GREY,In stock,Kameez Pants,SLUB LAWN SUIT,https://pk.khaadi.com/is21302-grey-is21302-grey-pk.html,T
